unit,quantity,rate,gi_amount,from_party,to_party,consignment_id,created_at
10KG,116,110,12760,71,71,10,
10KG,63,110,6930,83,83,10,
20KG,475,220,104500,3,3,11,
20KG,130,220,28600,5,5,11,
20KG,188,220,41360,2,2,11,
20KG,51,220,11220,9,9,11,
20KG,404,220,88880,16,16,11,
20KG,732,220,161040,4,32,12,
20KG,141,220,31020,76,1,12,
20KG,87,220,19140,35,35,12,
20KG,50,220,11000,98,29,12,
20KG,25,220,5500,85,20,12,
20KG,152,220,33440,10,10,12,
10KG,1126,110,123860,7,7,13,
20KG,379,220,83380,3,3,14,
20KG,245,220,53900,16,16,14,
20KG,196,220,43120,2,2,14,
20KG,406,220,89320,4,32,14,
10KG,43,110,4730,91,6,15,
10KG,30,110,3300,91,522,15,
20KG,52,220,11440,47,47,15,
10KG,114,110,12540,56,56,15,
10KG,19,110,2090,30,30,15,
10KG,72,110,7920,99,99,15,
10KG,74,110,8140,99,99,15,
10KG,21,110,2310,30,30,15,
10KG,158,110,17380,93,11,15,
10KG,83,110,9130,6,6,15,
10KG,93,110,10230,40,40,15,
10KG,154,110,16940,43,43,15,
10KG,271,110,29810,77,8,15,
10KG,120,110,13200,100,100,15,
10KG,26,110,2860,87,87,15,
10KG,36,110,3960,11,11,15,
10KG,168,110,18480,83,83,15,
10KG,36,110,3960,82,82,15,
10KG,82,110,9020,61,61,15,
10KG,73,110,8030,6,6,15,
10KG,43,110,4730,89,89,15,
10KG,87,110,9570,90,90,15,
10KG,72,110,7920,13,13,15,
10KG,26,110,2860,29,29,15,
10KG,179,110,19690,71,71,15,
10KG,70,110,7700,9,9,15,
20KG,59,220,12980,76,1,16,
20KG,126,220,27720,101,523,16,
20KG,115,220,25300,81,15,16,
20KG,31,220,6820,9,9,16,
10KG,99,110,10890,102,102,16,
10KG,50,110,5500,103,71,16,
10KG,50,110,5500,103,11,16,
10KG,109,110,11990,9,9,16,
10KG,197,110,21670,56,56,16,
10KG,68,110,7480,7,7,16,
10KG,68,110,7480,39,39,16,
10KG,25,110,2750,88,88,16,
10KG,111,110,12210,82,82,16,
10KG,81,110,8910,104,104,16,
10KG,81,110,8910,105,105,16,
10KG,22,110,2420,106,106,16,
10KG,24,110,2640,89,89,16,
10KG,39,110,4290,43,43,16,
10KG,63,110,6930,94,94,16,
10KG,34,110,3740,6,6,16,
10KG,73,110,8030,107,107,16,
10KG,73,110,8030,79,53,16,
10KG,34,110,3740,90,90,16,
10KG,108,110,11880,83,83,16,
10KG,89,110,9790,108,108,16,
10KG,119,110,13090,109,109,16,
10KG,60,110,6600,110,110,16,
10KG,60,110,6600,34,34,16,
10KG,26,110,2860,87,87,16,
20KG,318,220,69960,76,1,17,
20KG,208,220,45760,95,1,17,
20KG,269,220,59180,10,10,17,
20KG,68,220,14960,5,5,17,
20KG,111,220,24420,6,6,17,
20KG,65,220,14300,35,35,17,
20KG,86,220,18920,111,20,17,
20KG,25,220,5500,85,20,17,
20KG,32,220,7040,37,20,17,
20KG,323,220,71060,16,16,18,
20KG,121,220,26620,112,20,18,
